"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",123.754788,24.399932,"2244431114",240,14,116,3598,294,176,118,262,284,287,189,2118,227,129,17,663,429,521,468
"2",123.779784,24.333272,"2244431351",232,14,118,3528,285,170,115,271,195,279,183,2172,246,135,19,686,405,666,432
"3",136.94308,35.42219,"2244475837",152,70,228,8331,308,0,309,250,43,270,38,2045,301,64,49,890,216,691,248
"4",135.133333,34.9,"2244509075",155,71,237,8011,310,10,300,251,52,272,48,1407,197,58,40,571,192,397,207
"5",123.917273,24.3416,"2244429042",239,14,116,3548,292,176,116,278,201,285,189,2675,296,165,20,878,509,788,519
"6",123.917273,24.3416,"2244430180",239,14,116,3548,292,176,116,278,201,285,189,2675,296,165,20,878,509,788,519
"7",123.917273,24.3416,"2244430383",239,14,116,3548,292,176,116,278,201,285,189,2675,296,165,20,878,509,788,519
"8",133.916095,34.357433,"1829915053",161,66,230,7767,308,20,288,253,60,273,56,1527,222,42,48,650,152,466,185
"9",135.15,34.833333,"2244508129",155,72,239,8002,309,9,300,248,51,271,47,1437,206,56,36,503,192,339,228
"10",130.744611,32.201111,"1829918193",175,65,240,7134,307,36,271,260,109,276,78,1975,362,57,57,1008,188,697,195
"11",133.451389,34.794444,"1829641056",146,61,217,7715,292,10,282,238,80,258,42,1270,203,49,46,594,164,405,189
"12",121.62,24.97,"1086045679",198,33,190,4821,283,109,174,223,176,261,131,3797,494,213,28,1456,699,817,863
"13",138.340668,34.899137,"1829904557",162,51,193,7319,292,28,264,211,66,266,62,2260,333,56,49,913,182,814,223
"14",131.668333,32.588889,"1829644380",180,49,195,7010,302,50,252,227,85,279,85,2016,330,40,55,892,146,730,146
"15",134.19,34.610833,"1829870800",165,71,239,7991,319,20,299,261,62,281,58,1264,193,35,52,549,121,386,143
"16",133.281629,35.453168,"1829860586",159,44,166,7569,297,32,265,247,121,270,56,1792,245,115,27,676,349,523,415
"17",130.770827,33.747251,"1829866696",165,55,204,7381,301,32,269,252,99,271,66,1908,384,73,60,1092,231,702,289
"18",133.350833,35.3675,"1829892418",159,48,178,7638,300,30,270,248,168,271,55,1694,219,107,27,603,329,473,393
"19",124.167111,24.424722,"1934032962",232,13,117,3516,285,170,115,270,194,278,183,2435,300,134,26,826,418,803,424
"20",121.41,24.59,"1085968232",135,44,251,4434,222,48,174,181,76,193,74,3470,463,177,30,1299,541,1012,635
"21",137.610883,34.736274,"1829866437",168,51,194,7398,299,33,266,217,70,272,66,1801,241,57,40,669,173,547,212
"22",133.545194,34.365472,"395745994",170,61,218,7666,314,34,281,262,71,281,67,1345,211,33,52,603,119,426,149
"23",133.856944,34.670556,"395745995",163,68,231,7898,315,21,294,257,61,278,57,1285,203,37,52,595,129,406,150
"24",133.858056,34.661667,"395745996",163,68,231,7898,315,21,294,258,61,278,57,1284,202,37,52,594,131,404,153
"25",140.11862,36.17253,"1829559855",144,63,220,7632,286,-1,288,197,44,253,39,1458,194,52,41,544,156,454,168
"26",140.11862,36.17253,"1829559858",144,63,220,7632,286,-1,288,197,44,253,39,1458,194,52,41,544,156,454,168
"27",136.901897,34.498777,"1829854258",167,56,206,7479,303,31,272,257,69,273,65,1880,294,51,46,786,159,595,198
"28",136.838014,34.408394,"1829854268",165,55,204,7404,298,30,268,254,68,270,64,2095,343,47,53,927,145,722,183
"29",136.48409,35.032925,"1829854440",157,70,232,8097,311,9,302,253,52,273,48,1519,243,48,50,644,162,514,185
"30",136.48409,35.032925,"1829854445",157,70,232,8097,311,9,302,253,52,273,48,1519,243,48,50,644,162,514,185
"31",136.838014,34.408394,"1829854461",165,55,204,7404,298,30,268,254,68,270,64,2095,343,47,53,927,145,722,183
"32",136.838014,34.408394,"1829855359",165,55,204,7404,298,30,268,254,68,270,64,2095,343,47,53,927,145,722,183
"33",129.880183,33.5631,"1829907663",168,33,134,7047,289,46,242,248,107,270,72,1973,317,65,51,944,227,713,259
"34",129.880183,33.5631,"1829908039",168,33,134,7047,289,46,242,248,107,270,72,1973,317,65,51,944,227,713,259
"35",134.186389,34.611361,"1933864179",165,71,239,7991,319,20,299,261,62,281,58,1264,193,35,52,549,121,386,143
"36",0,0,"387667895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",133.916389,35.024722,"395746000",156,66,225,7927,309,15,293,251,88,272,50,1258,197,51,42,496,170,361,200
"38",133.858333,34.661667,"395746002",164,68,232,7904,316,22,294,259,62,279,58,1249,199,34,53,579,122,396,144
"39",133.916944,35.024167,"395746003",155,66,226,7929,308,15,293,248,88,271,49,1277,201,52,42,499,174,364,206
"40",134.166667,34.6,"1934138619",166,71,238,7989,320,21,299,262,63,282,59,1208,188,33,53,538,115,375,135
"41",134.086944,34.758056,"395745953",166,71,236,8008,320,21,299,262,62,282,58,1160,168,38,46,503,134,344,154
"42",129.343694,34.593694,"1933863788",153,28,112,7283,273,26,247,235,54,258,54,2031,305,52,50,884,180,807,180
"43",0,0,"351215341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",0,0,"351215361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",0,0,"387667534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",134.048333,34.735,"395745954",164,70,236,7986,318,20,298,260,61,280,57,1232,189,37,51,567,131,387,153
"47",133.902222,34.865,"395745955",162,68,230,7949,315,20,295,257,93,278,55,1098,164,38,46,485,132,338,154
"48",133.8575,34.660278,"395745963",163,68,231,7898,315,21,294,258,61,278,57,1284,202,37,52,594,131,404,153
"49",133.998611,34.874167,"395745964",155,69,233,7952,308,12,296,250,86,271,48,1355,220,45,52,651,152,446,171
"50",133.829722,34.789444,"395745972",152,67,231,7876,304,11,292,247,51,267,47,1374,226,37,55,670,133,458,160
"51",133.865556,34.670556,"395745977",164,68,231,7906,316,22,294,259,62,279,58,1230,194,34,52,562,120,388,143
"52",133.527222,34.741667,"395745966",152,63,221,7751,300,15,285,245,86,265,48,1324,192,44,46,569,157,398,185
"53",133.6,33.533333,"1830673932",176,44,179,7018,300,53,247,260,84,276,80,2612,386,63,50,1084,209,926,281
"54",135.05625,34.6875,"1830534592",162,72,239,7999,317,16,300,258,59,278,55,1407,213,46,46,585,150,400,174
"55",135.5783,35.0593,"1933863481",153,69,232,8001,306,8,298,248,83,269,45,1642,227,75,36,677,241,499,275
"56",121.4,24.18,"1085969083",116,50,289,4112,200,29,171,158,59,168,59,2883,442,112,41,1200,364,869,454
"57",121.5,25.13,"1085970126",221,30,167,5076,308,130,177,275,154,289,150,2389,295,133,27,799,407,741,461
"58",121.49,25.18,"1085969589",205,28,165,4981,289,117,173,258,181,271,136,2705,317,154,22,853,509,759,596
"59",132.733333,32.85,"1830679181",182,34,151,6510,293,69,224,222,96,275,93,2059,276,80,33,743,260,617,326
"60",132.883333,33.016667,"1830681739",177,36,158,6597,291,63,228,218,91,272,87,1912,308,51,53,816,163,704,208
"61",127.469278,35.603833,"2609410345",101,83,250,8950,261,-69,331,225,-23,225,-23,1596,371,32,84,1015,102,1015,102
"62",121.51,24.85,"1085971152",174,37,211,4716,261,86,175,198,153,236,109,3796,511,223,28,1443,719,863,825
"63",134.499601,34.186243,"1830622696",150,65,230,7642,294,10,284,240,51,260,47,2055,326,58,50,869,192,683,227
"64",134.08377,34.480584,"1829851717",157,70,237,7879,308,14,294,252,55,271,51,1507,233,39,51,637,141,466,171
"65",136.255698,36.229977,"1829853008",150,43,157,7857,291,20,272,52,109,265,44,2477,320,148,28,951,453,567,716
"66",135.46777,34.840876,"1829861416",159,71,237,8005,313,13,300,254,55,274,51,1423,250,40,55,680,138,489,163
"67",132.8,32.866667,"1830687557",167,34,153,6465,278,56,222,207,83,260,79,2489,354,84,39,944,272,785,346
"68",121.64,24.5,"1085973182",134,42,250,4253,217,50,167,155,115,189,75,4157,623,205,38,1821,619,969,807
"69",132.933333,32.783333,"1830519620",185,32,146,6428,294,74,220,224,101,277,97,2229,364,55,52,969,179,783,236
"70",132.89275,32.88101,"1835649134",174,34,152,6477,284,62,223,253,89,266,85,2283,332,75,41,909,245,693,315
"71",129.316667,28.283333,"1934139115",199,15,106,4553,269,124,145,227,166,263,138,3450,534,157,38,1460,513,1074,538
"72",121.96,25.02,"1085987317",224,26,158,4707,303,140,163,249,283,287,159,3352,459,134,36,1339,477,552,842
"73",121.43,24.74,"1085985311",140,40,234,4501,225,53,172,163,80,199,78,3637,483,212,27,1331,651,881,750
"74",121.47,24.69,"1085985432",136,41,241,4438,221,50,171,158,115,194,74,3817,505,221,28,1439,678,967,767
"75",121.78,24.87,"1085991274",196,32,192,4657,279,110,169,220,175,257,131,3617,511,192,32,1373,604,940,649
"76",118.41,24.46,"1085969334",214,42,216,5304,304,108,196,258,169,282,139,1254,198,30,55,560,99,464,194
"77",121.47,24.48,"1085984359",121,45,264,4277,206,35,171,143,102,177,62,3000,425,166,35,1271,511,696,615
"78",121.28,24.2,"1085986270",86,51,303,3986,169,0,169,127,32,137,31,2153,303,80,40,861,268,697,352
"79",121.47,24.47,"1085988726",112,45,268,4214,197,27,169,134,93,167,54,2953,410,163,34,1220,495,735,584
"80",130.37059,32.78815,"1828735627",176,60,222,7295,311,40,271,262,110,280,78,2182,381,58,56,1099,201,777,210
"81",134.55,34.683333,"1933839106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",120.93,23.27,"1085988694",132,52,330,3557,204,45,159,176,99,176,81,2332,403,57,64,1113,181,1113,205
"83",121.36,24.37,"1085983350",100,48,283,4136,185,15,170,121,45,154,44,2535,340,127,32,962,399,716,486
"84",121.45,24.36,"1085983659",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"85",120.87,23.47,"1085986550",91,55,345,3536,165,5,161,135,59,135,42,3523,642,73,71,1797,220,1797,275
"86",120.9,23.48,"1085988273",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"87",121.21,24.11,"1085973689",97,53,307,4013,180,9,171,133,42,148,41,2341,437,54,67,1140,184,1136,253
"88",121.28,24.39,"1085976538",73,48,292,3997,156,-10,165,115,21,125,19,2805,362,108,39,1060,342,980,453
"89",121.3,24.69,"1085982983",141,41,238,4538,227,53,174,181,81,200,78,3305,405,163,30,1154,493,1020,621
"90",133.996389,35.093611,"395745792",156,66,223,7936,309,15,293,251,88,272,49,1363,212,62,42,610,195,432,216
"91",133.994444,35.090278,"395745793",154,66,224,7933,307,13,293,249,86,270,47,1395,215,63,43,621,199,439,221
"92",136.578326,35.274044,"2579698588",161,70,229,8238,317,11,306,258,89,279,49,1530,220,66,38,588,213,467,243
"93",121.4,24.58,"1085985684",132,44,253,4415,218,45,174,178,73,190,71,3454,461,180,30,1290,547,996,646
"94",121.53,24.5,"1085986023",125,44,259,4277,210,40,170,147,106,181,66,3451,509,182,36,1498,560,789,708
"95",121.62,25.13,"1085987425",202,29,170,4873,285,115,171,228,179,267,134,3880,492,233,24,1364,731,991,808
"96",134.81875,35.054167,"1830537300",130,69,234,7921,284,-12,296,225,62,246,24,1868,243,86,35,727,280,516,322
"97",133.9,34.97,"395745756",140,67,229,7872,292,0,292,234,73,255,35,1612,236,59,46,695,198,498,227
"98",133.9,34.972222,"395745758",140,67,229,7872,292,0,292,234,73,255,35,1612,236,59,46,695,198,498,227
"99",121.618056,25.133889,"891591491",191,29,171,4799,273,105,168,217,168,255,125,4061,513,243,24,1453,774,982,885
"100",121.57,25.02,"1085993352",221,32,180,5023,309,130,179,247,199,288,151,2789,342,158,24,1023,519,634,639
"101",121.4,24.59,"1085979571",119,44,256,4329,204,33,171,164,61,175,59,3480,459,182,29,1288,554,1005,652
"102",133.925,34.9425,"395745709",144,67,230,7895,296,3,293,238,76,259,38,1593,243,56,49,715,187,505,210
"103",133.798611,35.047222,"395745723",154,64,221,7881,306,15,290,249,87,270,49,1405,227,67,41,636,213,433,242
"104",121.75,25.16,"1085997092",224,27,157,4925,306,136,170,250,285,289,155,2898,377,142,28,1097,496,568,688
"105",129.30528,34.5013,"2576085693",153,26,107,7229,272,27,244,235,55,257,55,2158,350,61,49,981,213,852,276
"106",129.39749,34.64063,"2576086600",154,28,113,7297,274,26,248,237,55,259,55,1918,269,56,44,785,194,723,194
"107",135.043818,34.75469,"1829850683",161,72,239,8016,316,15,301,257,57,277,53,1410,202,49,43,568,161,387,186
"108",132.91875,33.045833,"1830662239",181,36,158,6617,295,66,229,222,94,275,90,1904,325,49,55,851,157,729,200
"109",135.05,34.75,"729293646",161,72,239,8016,316,15,301,256,57,277,53,1433,203,50,42,571,166,388,194
