"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",137,44,252,4439,224,49,175,183,77,195,76,3569,482,184,30,1340,560,1023,658
"2",91,50,294,4074,173,4,169,127,56,143,34,2306,446,45,73,1208,144,1147,257
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"5",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"6",68,51,315,3798,149,-15,163,107,17,117,16,2362,337,72,49,966,240,902,314
"7",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"8",129,50,331,3401,196,45,152,170,96,170,80,2887,625,43,87,1751,141,1751,157
"9",112,45,268,4214,197,27,169,134,93,167,54,2953,410,163,34,1220,495,735,584
"10",149,39,301,3056,206,77,129,186,105,186,105,2212,535,24,97,1480,80,1480,80
"11",113,50,287,4204,196,23,173,150,76,166,54,2228,455,43,77,1192,134,1165,248
"12",77,47,283,4056,159,-6,165,113,24,130,22,2425,336,97,38,934,311,832,417
"13",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"14",73,48,292,3997,156,-10,165,115,21,125,19,2805,362,108,39,1060,342,980,453
"15",84,52,346,3315,154,3,151,125,54,125,38,2637,507,57,71,1400,182,1400,205
"16",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"17",111,50,336,3316,178,29,149,152,80,152,64,2938,600,50,81,1682,164,1682,180
"18",121,46,267,4266,206,35,171,142,63,176,62,2489,348,135,34,996,414,662,470
"19",68,52,313,3847,149,-16,165,108,16,117,15,2457,339,78,46,998,260,884,351
"20",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"21",55,51,316,3778,136,-26,162,95,5,104,4,2612,355,85,45,1055,283,957,377
"22",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"23",83,53,328,3637,160,0,160,120,33,129,33,2931,426,79,54,1277,269,1176,345
"24",82,52,315,3870,163,-3,167,117,29,131,29,2290,364,67,53,978,229,939,297
"25",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"26",100,48,283,4136,185,15,170,121,45,154,44,2535,340,127,32,962,399,716,486
"27",127,49,276,4319,214,38,176,166,69,183,68,2100,310,85,40,818,273,721,346
"28",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"29",112,48,278,4223,197,25,172,133,55,167,54,2632,381,138,33,1055,432,641,531
"30",63,52,315,3814,144,-20,164,102,12,112,11,2544,350,81,46,1033,271,922,365
"31",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"32",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"33",103,49,288,4152,186,15,171,140,67,156,45,2059,409,44,72,1076,138,1022,249
"34",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"35",124,44,254,4361,209,38,171,169,66,181,64,3523,466,187,29,1303,569,1007,665
"36",85,52,347,3307,154,3,151,125,54,125,38,2818,485,73,61,1315,232,1315,263
"37",102,53,341,3403,172,18,154,143,70,143,53,2782,472,73,60,1279,232,1279,265
"38",149,39,300,3045,205,77,129,185,104,185,104,2212,536,23,98,1487,77,1487,77
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",99,52,341,3378,168,16,153,140,67,140,51,2427,429,57,66,1191,181,1191,203
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"43",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"44",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"45",228,39,223,4713,309,132,177,268,225,287,160,1509,275,18,73,779,55,728,201
"46",132,44,254,4417,219,45,174,178,73,190,71,3259,441,168,30,1230,509,935,606
"47",132,44,254,4417,219,45,174,178,73,190,71,3259,441,168,30,1230,509,935,606
"48",122,56,332,3754,199,31,168,168,86,168,68,2856,539,57,73,1489,176,1489,211
"49",81,55,346,3471,155,-3,158,124,49,124,33,2801,425,75,56,1200,235,1200,273
"50",141,44,253,4396,227,54,173,163,122,199,81,3321,499,172,38,1475,566,660,721
"51",118,44,258,4326,203,32,171,163,60,174,58,3257,424,163,31,1209,493,983,589
"52",149,51,278,4432,236,55,182,188,109,205,87,2049,347,51,59,966,167,897,278
"53",76,51,309,3894,157,-9,166,116,23,126,22,2518,359,81,44,1039,271,886,365
"54",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"55",103,52,307,3966,185,16,170,143,48,153,48,2561,364,66,53,1088,222,1001,304
"56",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"57",118,44,258,4326,203,32,171,163,60,174,58,3257,424,163,31,1209,493,983,589
"58",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"59",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"60",141,39,304,3031,198,70,129,178,97,178,97,2225,514,29,91,1419,95,1419,95
"61",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"62",129,53,301,4169,214,37,177,167,71,182,71,2263,433,49,69,1122,169,1110,234
"63",144,43,260,4164,226,59,167,164,101,198,86,3110,452,134,41,1334,438,905,495
