"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",121.43,24.36,"1085970517",60,47,297,3842,140,-20,160,100,10,110,8,2463,322,108,38,931,336,807,398
"2",121.44,24.37,"1085970667",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"3",120.95,23.47,"1085969303",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"4",120.95,23.46,"1085970245",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"5",120.95,23.49,"1085970764",51,55,358,3322,123,-31,154,92,21,92,5,3046,539,68,67,1482,211,1482,332
"6",120.95,23.47,"1085972739",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"7",121.45,24.36,"1085984566",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"8",120.95,23.47,"1085985201",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"9",121.44,24.37,"1085986532",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"10",121.27,24.39,"1085981641",66,48,294,3953,148,-16,164,108,14,118,12,2732,354,103,40,1034,329,967,439
"11",121.289444,24.427778,"891605826",62,47,292,3933,143,-19,162,103,10,113,8,2716,340,111,37,1017,351,929,456
"12",121.435278,24.366111,"891608190",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"13",99.79929,28.932073,"1030869798",80,76,311,5854,186,-59,245,151,-3,153,-3,224,68,0,126,196,1,168,1
"14",121.250833,24.463056,"891618365",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"15",121.250833,24.463056,"891620000",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"16",121.250833,24.463056,"891633498",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"17",121.250833,24.463056,"891634999",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"18",121.250833,24.463056,"891635020",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"19",121.250833,24.463056,"891635194",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"20",121.250833,24.463056,"891635300",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"21",121.250833,24.463056,"891635310",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"22",121.250833,24.463056,"891635319",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"23",121.250833,24.463056,"891635369",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"24",121.261944,24.134167,"891635718",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"25",121.4375,24.363611,"891641999",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"26",121.4375,24.363611,"891642000",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"27",121.4375,24.363611,"891642020",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"28",121.413333,24.378611,"891642037",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"29",121.413333,24.378611,"891642038",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"30",121.4375,24.363611,"891642074",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"31",120.907778,23.470833,"891642040",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"32",120.905556,23.468611,"891642048",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"33",120.960556,23.468333,"891642006",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"34",121.160278,23.048611,"891636410",229,43,277,3731,298,144,154,274,174,274,174,1943,311,54,60,897,170,897,170
"35",121.160278,23.048611,"891638744",229,43,277,3731,298,144,154,274,174,274,174,1943,311,54,60,897,170,897,170
"36",120.994167,23.503333,"891620643",107,55,336,3620,182,20,163,144,73,152,56,2507,385,68,56,1087,214,1072,248
"37",121.240833,24.3475,"891642002",115,49,281,4253,201,27,174,153,58,170,56,2086,313,63,51,881,205,864,283
"38",121.439538,24.360961,"1086073707",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"39",121.432961,24.383281,"1086073719",57,47,296,3840,137,-22,159,77,7,107,5,2636,371,132,35,1039,408,708,482
"40",121.444409,24.370066,"1086073730",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"41",121.262222,24.134167,"1821786497",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
