"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",120.93333,23.58333,"1265946256",103,56,338,3686,180,14,166,149,69,149,51,3182,645,54,82,1778,165,1778,202
"2",121.28333,24.16667,"1265946276",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"3",120.9,23.46667,"1019619530",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"4",103.391111,34.602222,"575035658",47,103,316,7215,195,-129,324,142,-59,142,-59,389,75,1,84,221,5,221,5
"5",103.390556,34.601944,"575308143",47,103,316,7215,195,-129,324,142,-59,142,-59,389,75,1,84,221,5,221,5
"6",100.27,26.85,"912138502",127,86,371,5120,222,-9,231,185,51,188,51,708,180,2,109,510,6,477,6
"7",121.283333,24.153611,"575185517",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"8",121.27,24.13,"912138581",64,52,317,3807,145,-19,164,99,13,113,12,2501,389,68,54,1066,228,1037,312
"9",101.55,28.92,"912138509",70,80,342,5210,169,-64,233,136,-5,136,-5,569,122,2,95,358,6,358,6
"10",100.25,26.83,"912138546",126,86,371,5122,221,-10,231,184,50,187,50,709,178,2,109,514,6,472,6
"11",102.03,30.05,"912138520",31,75,309,5781,138,-105,244,105,-50,107,-50,803,161,5,83,427,15,367,15
"12",102.03,30.05,"912138542",31,75,309,5781,138,-105,244,105,-50,107,-50,803,161,5,83,427,15,367,15
"13",102.83,30.38,"912138524",119,66,260,6375,233,-21,253,202,26,202,26,764,155,6,83,465,18,465,18
"14",116,29.5,"912138506",173,74,235,8342,321,4,317,246,88,285,54,1756,323,36,62,916,130,585,134
"15",108.83,27.95,"912138518",154,65,230,7466,287,4,283,221,48,254,48,1569,268,30,63,788,98,570,98
"16",108.83,27.7,"912138522",176,65,226,7647,310,21,289,244,65,277,65,1165,185,25,57,547,83,402,83
"17",102.03,30.05,"912138525",31,75,309,5781,138,-105,244,105,-50,107,-50,803,161,5,83,427,15,367,15
"18",103.17,26.08,"912138532",188,81,368,4704,278,58,220,240,112,240,112,453,92,5,83,268,17,268,17
"19",102.72,29.35,"912138541",155,67,266,6154,267,17,251,236,63,236,63,639,142,3,91,420,10,420,10
"20",119.13,34.57,"912138508",142,84,247,9203,298,-41,339,263,11,263,11,876,225,15,90,605,49,605,49
"21",103.5,34.58,"912138521",48,102,314,7248,196,-128,324,143,-59,143,-59,443,89,1,86,255,5,255,5
"22",119.45,26.12,"912138550",191,50,215,6195,303,72,231,241,138,274,106,1330,240,31,58,656,100,481,193
"23",120.17,30.25,"912138527",175,76,237,8390,331,9,322,244,92,290,57,1431,218,46,43,598,151,466,176
"24",120.8,23.53,"912138564",121,56,332,3744,197,30,167,167,86,167,68,3588,682,60,77,1900,188,1900,246
"25",120.8,23.53,"912138582",121,56,332,3744,197,30,167,167,86,167,68,3588,682,60,77,1900,188,1900,246
"26",100.17,25.92,"912138539",151,86,372,4851,244,12,232,204,76,207,76,787,169,7,87,485,27,417,27
"27",101.65,27.45,"912138500",119,83,374,4894,210,-13,223,177,44,177,44,613,160,2,105,435,7,435,7
"28",101.5,27.83,"912138592",67,82,367,4989,162,-62,224,129,-6,129,-6,948,242,3,106,660,10,660,10
"29",120.83,23.5,"912138519",124,56,333,3739,200,33,167,170,89,170,70,3326,557,73,64,1542,223,1542,285
"30",121.666667,24.45,"1821791028",176,41,238,4476,261,87,174,197,157,234,113,3112,458,147,39,1348,471,768,560
"31",121.666667,24.45,"1821791079",176,41,238,4476,261,87,174,197,157,234,113,3112,458,147,39,1348,471,768,560
"32",121.266667,24.133333,"1822032935",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"33",100.33,27.17,"912124516",129,85,367,5186,225,-5,230,188,53,192,53,726,196,2,112,538,6,516,6
"34",111.33,30.77,"912124518",174,77,245,8140,318,5,314,278,58,281,58,1013,204,18,66,539,56,502,56
"35",121.5,29.83,"912138487",177,55,196,7798,315,32,283,235,108,286,72,1425,208,47,43,563,158,479,212
"36",100.28,26.37,"912138495",152,88,373,5015,247,12,235,207,76,211,76,702,156,4,97,464,14,429,14
"37",119.63,27.58,"912138513",149,68,247,6853,283,9,274,205,83,242,54,2172,371,51,56,1060,165,683,183
"38",102.68,25.07,"912138514",157,80,379,4335,246,33,212,201,104,204,87,1069,219,14,87,639,43,633,45
"39",108.8,31.97,"912138526",116,75,260,7499,254,-34,288,213,10,217,10,880,168,5,74,465,18,412,18
"40",108.75,30.17,"912138529",148,69,246,7333,280,0,280,240,44,247,44,922,151,15,62,446,48,369,48
"41",100.83,28.67,"912138534",32,81,344,5385,133,-103,237,99,-43,101,-43,891,249,1,121,693,3,663,3
